gnerations , DifferentNumberOfGenome , averageFitness , varianceFitness , FirstQuartileFitness , medianFitness , thirdQuartileFitness, averageMatch , variance Match ,FirstQuartileMatch , medianMatch , thirdMatch , alive 
274,36,0.15708,0.00347113,0.120438,0.149635,0.186131,0,0,0,0,0,11
275,42,0.156558,0.00344503,0.116364,0.149091,0.185455,0,0,0,0,0,12
276,45,0.156232,0.00341488,0.115942,0.148551,0.184783,0,0,0,0,0,9
277,48,0.155957,0.00341705,0.119134,0.148014,0.187726,0,0,0,0,0,10
278,41,0.155731,0.00337311,0.118705,0.147482,0.18705,0,0,0,0,0,6
279,45,0.155173,0.00334897,0.114695,0.146953,0.182796,0,0,0,0,0,9
280,41,0.154905,0.00332577,0.114286,0.146429,0.182143,0,0,0,0,0,7
281,42,0.154496,0.00330259,0.117438,0.145907,0.185053,0,0,0,0,0,8
282,44,0.154326,0.00325415,0.117021,0.14539,0.184397,0,0,0,0,0,9
283,45,0.153922,0.00322516,0.113074,0.144876,0.180212,0,0,0,0,0,11
